HomeTeam,AwayTeam,FTR,HST,AST,HC,AC,HAS,HDS,AAS,ADS,Result
Venezia,Inter,A,2.0,6.0,4.0,5.0,1.022190325821731,0.9457636122177955,3.625427180168216,0.0,-1
Napoli,Verona,H,3.0,2.0,8.0,1.0,0.3833644323238123,0.31526203966005667,1.89157223796034,1.1500932969714368,1
Genoa,Parma,H,4.0,3.0,6.0,9.0,0.5111366245694604,0.9458923512747875,0.15764872521246462,1.6611940298507464,1
Venezia,Inter,A,2.0,6.0,4.0,5.0,0.7667360264045346,0.7883321529745042,2.995662181303116,0.0,-1
Bologna,Roma,D,8.0,4.0,5.0,4.0,1.1502331922221425,0.9460210675400548,0.31534035584668496,0.8946258161727775,0
Genoa,Parma,H,4.0,3.0,6.0,9.0,0.3833990960614104,0.630639879635366,0.0,1.405796685558505,1
Augsburg,Stuttgart,A,2.0,5.0,3.0,9.0,0.255609756097561,0.7883883529515886,1.7344543764934952,0.7668292682926828,-1
RB Leipzig,Werder Bremen,H,7.0,2.0,4.0,1.0,1.2781922525107603,2.2075398230088497,1.2614513274336283,0.5112769010043041,1
Bologna,Roma,D,8.0,4.0,5.0,4.0,1.0223752151462995,1.2613696690851177,0.6306848345425589,1.0223752151462995,0
Napoli,Verona,H,3.0,2.0,8.0,1.0,0.5111716621253407,0.3153220099079972,1.891932059447983,1.2779291553133516,1
Ath Madrid,Osasuna,H,5.0,1.0,4.0,0.0,1.4056782334384859,0.9460721868365181,0.3153573956121727,0.3833667909377688,1
Las Palmas,Getafe,A,7.0,3.0,4.0,5.0,0.8945587497311636,0.6307855626326964,0.3153927813163482,0.8945587497311636,-1
Monza,Fiorentina,H,3.0,2.0,2.0,4.0,0.6389964157706093,1.5768618432690606,0.9461171059614364,0.7667956989247311,1
Sociedad,Villarreal,H,3.0,5.0,3.0,7.0,0.6389764908256881,0.0,1.8922791191297423,1.2779529816513762,1
